"month","median"
"Jan",7.92825
"Feb",7.94355
"Mar",7.95375
"Apr",7.9639
"May",7.99175
"Jun",7.96965
"Jul",7.90805
"Aug",7.86775
"Sep",7.8475
"Oct",7.84645
"Nov",7.8648
"Dec",7.896
