4.5115,2.2931
11.535,2.0636
18.558,1.8622
25.581,1.6122
32.604,1.4331
39.627,1.3622
46.65,1.247
53.673,1.2166
60.696,1.2221
67.719,1.1715
74.742,1.0489
81.765,1.0295
88.788,1.1211
95.812,1.2392
102.83,1.3738
109.86,1.7048
116.88,2.2186
123.9,2.7432
130.93,3.3817
137.95,4.3452
144.97,5.093
152,6.3458
159.02,7.6262
166.04,8.5922
173.07,9.3151
180.09,9.8008
187.11,10.419
194.13,11.084
201.16,11.737
208.18,11.786
215.2,12.168
222.23,12.005
229.25,11.999
236.27,11.914
243.3,11.563
250.32,11.248
257.34,10.515
264.37,9.6548
271.39,8.9184
278.41,8.2011
285.43,7.5646
292.46,7.0172
299.48,6.4266
306.5,5.9375
313.53,5.4856
320.55,5.0361
327.57,4.5413
334.6,4.0681
341.62,3.7195
348.64,3.3384
355.67,3.047
362.69,2.7197
